Key,Item Type,Publication Year,Author,Title,Publication Title,ISBN,ISSN,DOI,Url,Abstract Note,Date,Date Added,Date Modified,Access Date,Pages,Num Pages,Issue,Volume,Number Of Volumes,Journal Abbreviation,Short Title,Series,Series Number,Series Text,Series Title,Publisher,Place,Language,Rights,Type,Archive,Archive Location,Library Catalog,Call Number,Extra,Notes,File Attachments,Link Attachments,Manual Tags,Automatic Tags,Editor,Series Editor,Translator,Contributor,Attorney Agent,Book Author,Cast Member,Commenter,Composer,Cosponsor,Counsel,Interviewer,Producer,Recipient,Reviewed Author,Scriptwriter,Words By,Guest,Number,Edition,Running Time,Scale,Medium,Artwork Size,Filing Date,Application Number,Assignee,Issuing Authority,Country,Meeting Name,Conference Name,Court,References,Reporter,Legal Status,Priority Numbers,Programming Language,Version,System,Code,Code Number,Section,Session,Committee,History,Legislative Body
CDEQTLX3,journalArticle,,"Huang, Lifeng; Gao, Chengying; Zhou, Yuyin; Xie, Cihang; Yuille, Alan L; Zou, Changqing; Liu, Ning",Universal Physical Camouflage Attacks on Object Detectors,,,,,,"In this paper, we study physical adversarial attacks on object detectors in the wild. Previous works mostly craft instance-dependent perturbations only for rigid or planar objects. To this end, we propose to learn an adversarial pattern to effectively attack all instances belonging to the same object category, referred to as Universal Physical Camouﬂage Attack (UPC). Concretely, UPC crafts camouﬂage by jointly fooling the region proposal network, as well as misleading the classiﬁer and the regressor to output errors. In order to make UPC effective for non-rigid or nonplanar objects, we introduce a set of transformations for mimicking deformable properties. We additionally impose optimization constraint to make generated patterns look natural to human observers. To fairly evaluate the effectiveness of different physical-world attacks, we present the ﬁrst standardized virtual database, AttackScenes, which simulates the real 3D world in a controllable and reproducible environment. Extensive experiments suggest the superiority of our proposed UPC compared with existing physical adversarial attackers not only in virtual environments (AttackScenes), but also in real-world physical environments. Code and dataset are available at https:// mesunhlf.github.io/index_physical.html.",,2020/7/17 2:06,2020/7/17 2:06,,10,,,,,,,,,,,,,en,,,,,Zotero,,,,C:\Users\zhbli\Zotero\storage\KEFVTGPK\Huang 等。 - Universal Physical Camouflage Attacks on Object De.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3IVKL9YV,journalArticle,,,Attack to Explain Deep Representation,,,,,,"Deep visual models are susceptible to extremely low magnitude perturbations to input images. Though carefully crafted, the perturbation patterns generally appear noisy, yet they are able to perform controlled manipulation of model predictions. This observation is used to argue that deep representation is misaligned with human perception. This paper counter-argues and proposes the ﬁrst attack on deep learning that aims at explaining the learned representation instead of fooling it. By extending the input domain of the manipulative signal and employing a model faithful channelling, we iteratively accumulate adversarial perturbations for a deep model. The accumulated signal gradually manifests itself as a collection of visually salient features of the target label (in model fooling), casting adversarial perturbations as primitive features of the target label. Our attack provides the ﬁrst demonstration of systematically computing perturbations for adversarially nonrobust classiﬁers that comprise salient visual features of objects. We leverage the model explaining character of our algorithm to perform image generation, inpainting and interactive image manipulation by attacking adversarially robust classiﬁers. The visually appealing results across these applications demonstrate the utility of our attack (and perturbations in general) beyond model fooling.",,2020/7/17 2:07,2020/7/17 2:07,,10,,,,,,,,,,,,,en,,,,,Zotero,,,,C:\Users\zhbli\Zotero\storage\3LWSGWH8\Attack to Explain Deep Representation.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P9GNGM69,journalArticle,,"Jeddi, Ahmadreza; Shafiee, Mohammad Javad; Karg, Michelle; Scharfenberger, Christian; Wong, Alexander",Learn2Perturb: An End-to-End Feature Perturbation Learning to Improve Adversarial Robustness,,,,,,"While deep neural networks have been achieving stateof-the-art performance across a wide variety of applications, their vulnerability to adversarial attacks limits their widespread deployment for safety-critical applications. Alongside other adversarial defense approaches being investigated, there has been a very recent interest in improving adversarial robustness in deep neural networks through the introduction of perturbations during the training process. However, such methods leverage ﬁxed, pre-deﬁned perturbations and require signiﬁcant hyperparameter tuning that makes them very difﬁcult to leverage in a general fashion. In this study, we introduce Learn2Perturb, an end-to-end feature perturbation learning approach for improving the adversarial robustness of deep neural networks. More speciﬁcally, we introduce novel perturbation-injection modules that are incorporated at each layer to perturb the feature space and increase uncertainty in the network. This feature perturbation is performed at both the training and the inference stages. Furthermore, inspired by the Expectation-Maximization, an alternating back-propagation training algorithm is introduced to train the network and noise parameters consecutively. Experimental results on CIFAR-10 and CIFAR-100 datasets show that the proposed Learn2Perturb method can result in deep neural networks which are 4-7% more robust on l∞ FGSM and PDG adversarial attacks and signiﬁcantly outperforms the state-of-the-art against l2 C&W attack and a wide range of well-known black-box attacks1.",,2020/7/17 2:07,2020/7/17 2:07,,10,,,,,,,,,,,,,en,,,,,Zotero,,,,C:\Users\zhbli\Zotero\storage\SS4M7KS2\Jeddi 等。 - Learn2Perturb An End-to-End Feature Perturbation .pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
U6XMYJDP,journalArticle,,"Kariyappa, Sanjay; Qureshi, Moinuddin K",Defending Against Model Stealing Attacks With Adaptive Misinformation,,,,,,"Deep Neural Networks (DNNs) are susceptible to model stealing attacks, which allows a data-limited adversary with no knowledge of the training dataset to clone the functionality of a target model, just by using black-box query access. Such attacks are typically carried out by querying the target model using inputs that are synthetically generated or sampled from a surrogate dataset to construct a labeled dataset. The adversary can use this labeled dataset to train a clone model, which achieves a classiﬁcation accuracy comparable to that of the target model. We propose “Adaptive Misinformation” to defend against such model stealing attacks. We identify that all existing model stealing attacks invariably query the target model with Out-OfDistribution (OOD) inputs. By selectively sending incorrect predictions for OOD queries, our defense substantially degrades the accuracy of the attacker’s clone model (by up to 40%), while minimally impacting the accuracy (< 0.5%) for benign users. Compared to existing defenses, our defense has a signiﬁcantly better security vs accuracy tradeoff and incurs minimal computational overhead.",,2020/7/17 2:08,2020/7/17 2:08,,9,,,,,,,,,,,,,en,,,,,Zotero,,,,C:\Users\zhbli\Zotero\storage\4Z9KJC5V\Kariyappa 和 Qureshi - Defending Against Model Stealing Attacks With Adap.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QSSN8HTJ,journalArticle,,"Kim, Edward; Rego, Jocelyn; Watkins, Yijing; Kenyon, Garrett T",Modeling Biological Immunity to Adversarial Examples,,,,,,"While deep learning continues to permeate through all ﬁelds of signal processing and machine learning, a critical exploit in these frameworks exists and remains unsolved. These exploits, or adversarial examples, are a type of signal attack that can change the output class of a classiﬁer by perturbing the stimulus signal by an imperceptible amount. The attack takes advantage of statistical irregularities within the training data, where the added perturbations can “move” the image across deep learning decision boundaries. What is even more alarming is the transferability of these attacks to different deep learning models and architectures. This means a successful attack on one model has adversarial effects on other, unrelated models.",,2020/7/17 2:08,2020/7/17 2:08,,10,,,,,,,,,,,,,en,,,,,Zotero,,,,C:\Users\zhbli\Zotero\storage\X4UQ6LAF\Kim 等。 - Modeling Biological Immunity to Adversarial Exampl.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IQSWRT9D,journalArticle,,"Kolouri, Soheil; Saha, Aniruddha; Pirsiavash, Hamed; Hoffmann, Heiko",Universal Litmus Patterns: Revealing Backdoor Attacks in CNNs,,,,,,"The unprecedented success of deep neural networks in many applications has made these networks a prime target for adversarial exploitation. In this paper, we introduce a benchmark technique for detecting backdoor attacks (aka Trojan attacks) on deep convolutional neural networks (CNNs). We introduce the concept of Universal Litmus Patterns (ULPs), which enable one to reveal backdoor attacks by feeding these universal patterns to the network and analyzing the output (i.e., classifying the network as ‘clean’ or ‘corrupted’). This detection is fast because it requires only a few forward passes through a CNN. We demonstrate the effectiveness of ULPs for detecting backdoor attacks on thousands of networks with different architectures trained on four benchmark datasets, namely the German Trafﬁc Sign Recognition Benchmark (GTSRB), MNIST, CIFAR10, and Tiny-ImageNet. The codes and train/test models for this paper can be found here: https://umbcvision. github.io/Universal-Litmus-Patterns/.",,2020/7/17 2:09,2020/7/17 2:09,,10,,,,,,,,,,,,,en,,,,,Zotero,,,,C:\Users\zhbli\Zotero\storage\Y89KCM9P\Kolouri 等。 - Universal Litmus Patterns Revealing Backdoor Atta.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RJIR87TW,journalArticle,,"Kong, Zelun; Guo, Junfeng; Li, Ang; Liu, Cong",PhysGAN: Generating Physical-World-Resilient Adversarial Examples for Autonomous Driving,,,,,,"Although Deep neural networks (DNNs) are being pervasively used in vision-based autonomous driving systems, they are found vulnerable to adversarial attacks where small-magnitude perturbations into the inputs during test time cause dramatic changes to the outputs. While most of the recent attack methods target at digital-world adversarial scenarios, it is unclear how they perform in the physical world, and more importantly, the generated perturbations under such methods would cover a whole driving scene including those ﬁxed background imagery such as the sky, making them inapplicable to physical world implementation. We present PhysGAN, which generates physical-world-resilient adversarial examples for misleading autonomous driving systems in a continuous manner. We show the effectiveness and robustness of PhysGAN via extensive digital- and real-world evaluations. We compare PhysGAN with a set of state-of-the-art baseline methods, which further demonstrate the robustness and efﬁcacy of our approach. We also show that PhysGAN outperforms state-of-the-art baseline methods. To the best of our knowledge, PhysGAN is probably the ﬁrst technique of generating realistic and physical-world-resilient adversarial examples for attacking common autonomous driving scenarios.",,2020/7/17 2:09,2020/7/17 2:09,,10,,,,,,,,,,,,,en,,,,,Zotero,,,,C:\Users\zhbli\Zotero\storage\YZQM4DK8\Kong 等。 - PhysGAN Generating Physical-World-Resilient Adver.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8S2NUJU5,journalArticle,,"Li, Guanlin; Ding, Shuya; Luo, Jun; Liu, Chang",Enhancing Intrinsic Adversarial Robustness via Feature Pyramid Decoder,,,,,,"Whereas adversarial training is employed as the main defence strategy against speciﬁc adversarial samples, it has limited generalization capability and incurs excessive time complexity. In this paper, we propose an attack-agnostic defence framework to enhance the intrinsic robustness of neural networks, without jeopardizing the ability of generalizing clean samples. Our Feature Pyramid Decoder (FPD) framework applies to all block-based convolutional neural networks (CNNs). It implants denoising and image restoration modules into a targeted CNN, and it also constraints the Lipschitz constant of the classiﬁcation layer. Moreover, we propose a two-phase strategy to train the FPD-enhanced CNN, utilizing ǫ-neighbourhood noisy images with multi-task and self-supervised learning. Evaluated against a variety of white-box and black-box attacks, we demonstrate that FPD-enhanced CNNs gain sufﬁcient robustness against general adversarial samples on MNIST, SVHN and CALTECH. In addition, if we further conduct adversarial training, the FPD-enhanced CNNs perform better than their non-enhanced versions.",,2020/7/17 2:11,2020/7/17 2:11,,9,,,,,,,,,,,,,en,,,,,Zotero,,,,C:\Users\zhbli\Zotero\storage\2JJ6YD2X\Li 等。 - Enhancing Intrinsic Adversarial Robustness via Fea.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IXZ4TR6D,journalArticle,,"Li, Jie; Ji, Rongrong; Liu, Hong; Liu, Jianzhuang; Zhong, Bineng; Deng, Cheng; Tian, Qi",Projection & Probability-Driven Black-Box Attack,,,,,,,,2020/7/17 2:12,2020/7/17 2:12,,10,,,,,,,,,,,,,en,,,,,Zotero,,,,C:\Users\zhbli\Zotero\storage\GDQ3YDRM\Li 等。 - Projection & Probability-Driven Black-Box Attack.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KC56Q92R,journalArticle,,"Li, Huichen; Xu, Xiaojun; Zhang, Xiaolu; Yang, Shuang; Li, Bo",QEBA: Query-Efficient Boundary-Based Blackbox Attack,,,,,,"Machine learning (ML), especially deep neural networks (DNNs) have been widely used in various applications, including several safety-critical ones (e.g. autonomous driving). As a result, recent research about adversarial examples has raised great concerns. Such adversarial attacks can be achieved by adding a small magnitude of perturbation to the input to mislead model prediction. While several whitebox attacks have demonstrated their effectiveness, which assume that the attackers have full access to the machine learning models; blackbox attacks are more realistic in practice. In this paper, we propose a Query-Efﬁcient Boundary-based blackbox Attack (QEBA) based only on model’s ﬁnal prediction labels. We theoretically show why previous boundary-based attack with gradient estimation on the whole gradient space is not efﬁcient in terms of query numbers, and provide optimality analysis for our dimension reduction-based gradient estimation. On the other hand, we conducted extensive experiments on ImageNet and CelebA datasets to evaluate QEBA. We show that compared with the state-of-the-art blackbox attacks, QEBA is able to use a smaller number of queries to achieve a lower magnitude of perturbation with 100% attack success rate. We also show case studies of attacks on real-world APIs including MEGVII Face++ and Microsoft Azure.",,2020/7/17 2:12,2020/7/17 2:12,,10,,,,,,,,,,,,,en,,,,,Zotero,,,,C:\Users\zhbli\Zotero\storage\24P3I6WW\Li 等。 - QEBA Query-Efficient Boundary-Based Blackbox Atta.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EGVV73TS,journalArticle,,"Li, Maosen; Deng, Cheng; Li, Tengjiao; Yan, Junchi; Gao, Xinbo; Huang, Heng",Towards Transferable Targeted Attack,,,,,,"An intriguing property of adversarial examples is their transferability, which suggests that black-box attacks are feasible in real-world applications. Previous works mostly study the transferability on non-targeted setting. However, recent studies show that targeted adversarial examples are more difﬁcult to transfer than non-targeted ones. In this paper, we ﬁnd there exist two defects that lead to the difﬁculty in generating transferable examples. First, the magnitude of gradient is decreasing during iterative attack, causing excessive consistency between two successive noises in accumulation of momentum, which is termed as noise curing. Second, it is not enough for targeted adversarial examples to just get close to target class without moving away from true class. To overcome the above problems, we propose a novel targeted attack approach to effectively generate more transferable adversarial examples. Speciﬁcally, we ﬁrst introduce the Poincare´ distance as the similarity metric to make the magnitude of gradient self-adaptive during iterative attack to alleviate noise curing. Furthermore, we regularize the targeted attack process with metric learning to take adversarial examples away from true label and gain more transferable targeted adversarial examples. Experiments on ImageNet validate the superiority of our approach achieving 8% higher attack success rate over other state-ofthe-art methods on average in black-box targeted attack.",,2020/7/17 2:13,2020/7/17 2:13,,9,,,,,,,,,,,,,en,,,,,Zotero,,,,C:\Users\zhbli\Zotero\storage\7ZV3N36X\Li 等。 - Towards Transferable Targeted Attack.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
