Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract
481,"Z Zhong, L Zheng, D Cao, S Li","Re-ranking person re-identification with k-reciprocal encoding",2017,"Proceedings of the IEEE …","openaccess.thecvf.com","http://openaccess.thecvf.com/content_cvpr_2017/html/Zhong_Re-Ranking_Person_Re-Identification_CVPR_2017_paper.html","https://scholar.google.com/scholar?cites=5132863931120457431&as_sdt=2005&sciodt=0,5&hl=en",4,"2020-02-26 15:55:41","","","","",,,,,481,160.33,120,4,3,"When considering person re-identification (re-ID) as a retrieval process, re-ranking is a critical step to improve its accuracy. Yet in the re-ID community, limited effort has been devoted to re-ranking, especially those fully automatic, unsupervised solutions. In this paper …"
443,"S Ding, L Lin, G Wang, H Chao","Deep feature learning with relative distance comparison for person re-identification",2015,"Pattern Recognition","Elsevier","https://www.sciencedirect.com/science/article/pii/S0031320315001296","https://scholar.google.com/scholar?cites=2720742380351397515&as_sdt=2005&sciodt=0,5&hl=en",17,"2020-02-26 15:55:41","","","","",,,,,443,88.60,111,4,5,"Identifying the same individual across different scenes is an important yet difficult task in intelligent video surveillance. Its main difficulty lies in how to preserve similarity of the same person against large appearance and structure variation while discriminating different …"
438,"W Chen, X Chen, J Zhang, ...","Beyond triplet loss: a deep quadruplet network for person re-identification",2017,"Proceedings of the IEEE …","openaccess.thecvf.com","http://openaccess.thecvf.com/content_cvpr_2017/html/Chen_Beyond_Triplet_Loss_CVPR_2017_paper.html","https://scholar.google.com/scholar?cites=15352923940543802650&as_sdt=2005&sciodt=0,5&hl=en",20,"2020-02-26 15:55:41","","","","",,,,,438,146.00,110,4,3,"Person re-identification (ReID) is an important task in wide area video surveillance which focuses on identifying people across different cameras. Recently, deep learning networks with a triplet loss become a common framework for person ReID. However, the triplet loss …"
412,"L Zheng, Z Bie, Y Sun, J Wang, C Su, S Wang, ...","Mars: A video benchmark for large-scale person re-identification",2016,"… on Computer Vision","Springer","https://link.springer.com/chapter/10.1007/978-3-319-46466-4_52","https://scholar.google.com/scholar?cites=7989537398572435820&as_sdt=2005&sciodt=0,5&hl=en",11,"2020-02-26 15:55:41","","","","",,,,,412,103.00,59,7,4,"This paper considers person re-identification (re-id) in videos. We introduce a new video re-id dataset, named M otion A nalysis and R e-identification S et (MARS), a video extension of the Market-1501 dataset. To our knowledge, MARS is the largest video re-id dataset to date …"
403,"T Matsukawa, T Okabe, E Suzuki, ...","Hierarchical gaussian descriptor for person re-identification",2016,"Proceedings of the IEEE …","cv-foundation.org","https://www.cv-foundation.org/openaccess/content_cvpr_2016/html/Matsukawa_Hierarchical_Gaussian_Descriptor_CVPR_2016_paper.html","https://scholar.google.com/scholar?cites=16555846182825622927&as_sdt=2005&sciodt=0,5&hl=en",6,"2020-02-26 15:55:41","","","","",,,,,403,100.75,101,4,4,"Describing the color and textural information of a person image is one of the most crucial aspects of person re-identification. In this paper, we present a novel descriptor based on a hierarchical distribution of pixel features. A hierarchical covariance descriptor has been …"
384,"S Paisitkriangkrai, C Shen, ...","Learning to rank in person re-identification with metric ensembles",2015,"Proceedings of the …","openaccess.thecvf.com","http://openaccess.thecvf.com/content_cvpr_2015/html/Paisitkriangkrai_Learning_to_Rank_2015_CVPR_paper.html","https://scholar.google.com/scholar?cites=5953615090367886073&as_sdt=2005&sciodt=0,5&hl=en",13,"2020-02-26 15:55:41","","","","",,,,,384,76.80,128,3,5,"We propose an effective structured learning based approach to the problem of person re-identification which outperforms the current state-of-the-art on most benchmark data sets evaluated. Our framework is built on the basis of multiple low-level hand-crafted and high …"
365,"H Zhao, M Tian, S Sun, J Shao, J Yan, ...","Spindle net: Person re-identification with human body region guided feature decomposition and fusion",2017,"Proceedings of the …","openaccess.thecvf.com","http://openaccess.thecvf.com/content_cvpr_2017/html/Zhao_Spindle_Net_Person_CVPR_2017_paper.html","https://scholar.google.com/scholar?cites=10597448056612590924&as_sdt=2005&sciodt=0,5&hl=en",35,"2020-02-26 15:55:41","","","","",,,,,365,121.67,61,6,3,"Person re-identification (ReID) is an important task in video surveillance and has various applications. It is non-trivial due to complex background clutters, varying illumination conditions, and uncontrollable camera settings. Moreover, the person body misalignment …"
364,"Y Sun, L Zheng, W Deng, ...","Svdnet for pedestrian retrieval",2017,"Proceedings of the IEEE …","openaccess.thecvf.com","http://openaccess.thecvf.com/content_iccv_2017/html/Sun_SVDNet_for_Pedestrian_ICCV_2017_paper.html","https://scholar.google.com/scholar?cites=4883173656761999145&as_sdt=2005&sciodt=0,5&hl=en",991,"2020-02-26 15:55:41","","","","",,,,,364,121.33,91,4,3,"… Abstract This paper proposes the SVDNet for retrieval problems, with focus on the application of person re-identification (re- ID) … 1. Introduction This paper considers the problem of pedestrian retrieval, also called person re-identification (re-ID) …"
350,"RR Varior, B Shuai, J Lu, D Xu, G Wang","A siamese long short-term memory architecture for human re-identification",2016,"European conference on …","Springer","https://link.springer.com/chapter/10.1007/978-3-319-46478-7_9","https://scholar.google.com/scholar?cites=3996088614932093432&as_sdt=2005&sciodt=0,5&hl=en",14,"2020-02-26 15:55:41","","","","",,,,,350,87.50,70,5,4,"Matching pedestrians across multiple camera views known as human re-identification (re-identification) is a challenging problem in visual surveillance. In the existing works concentrating on feature extraction, representations are formed locally and independent of …"
347,"W Li, X Zhu, S Gong","Harmonious attention network for person re-identification",2018,"… of the IEEE conference on computer …","openaccess.thecvf.com","http://openaccess.thecvf.com/content_cvpr_2018/html/Li_Harmonious_Attention_Network_CVPR_2018_paper.html","https://scholar.google.com/scholar?cites=7374410551099388706&as_sdt=2005&sciodt=0,5&hl=en",12,"2020-02-26 15:55:41","","","","",,,,,347,173.50,116,3,2,"Existing person re-identiﬁcation (re-id) methods either assume the availability of well-aligned person bounding box images as model input or rely on constrained attention selection mechanisms to calibrate misaligned images. They are therefore sub-optimal for re …"
341,"R Zhang, L Lin, R Zhang, W Zuo, ...","Bit-scalable deep hashing with regularized similarity learning for image retrieval and person re-identification",2015,"IEEE Transactions on …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/7185403/","https://scholar.google.com/scholar?cites=15648791255273568340&as_sdt=2005&sciodt=0,5&hl=en",45,"2020-02-26 15:55:41","","","","",,,,,341,68.20,68,5,5,"Extracting informative image features and learning effective approximate hashing functions are two crucial steps in image retrieval. Conventional methods often study these two steps separately, eg, learning hash functions from a predefined hand-crafted feature space …"
337,"D Li, X Chen, Z Zhang, K Huang","Learning deep context-aware features over body and latent parts for person re-identification",2017,"Proceedings of the IEEE …","openaccess.thecvf.com","http://openaccess.thecvf.com/content_cvpr_2017/html/Li_Learning_Deep_Context-Aware_CVPR_2017_paper.html","https://scholar.google.com/scholar?cites=11787115398937943065&as_sdt=2005&sciodt=0,5&hl=en",37,"2020-02-26 15:55:41","","","","",,,,,337,112.33,84,4,3,"Abstract Person Re-identification (ReID) is to identify the same person across different cameras. It is a challenging task due to the large variations in person pose, occlusion, background clutter, etc. How to extract powerful features is a fundamental problem in ReID …"
323,"L Zhao, X Li, Y Zhuang, J Wang","Deeply-learned part-aligned representations for person re-identification",2017,"Proceedings of the IEEE …","openaccess.thecvf.com","http://openaccess.thecvf.com/content_iccv_2017/html/Zhao_Deeply-Learned_Part-Aligned_Representations_ICCV_2017_paper.html","https://scholar.google.com/scholar?cites=959453658463980412&as_sdt=2005&sciodt=0,5&hl=en",24,"2020-02-26 15:55:41","","","","",,,,,323,107.67,81,4,3,"In this paper, we address the problem of person re-identification, which refers to associating the persons captured from different cameras. We propose a simple yet effective human part-aligned representation for handling the body part misalignment problem. Our approach …"
312,"N McLaughlin, J Martinez del Rincon, ...","Recurrent convolutional network for video-based person re-identification",2016,"Proceedings of the IEEE …","cv-foundation.org","https://www.cv-foundation.org/openaccess/content_cvpr_2016/html/McLaughlin_Recurrent_Convolutional_Network_CVPR_2016_paper.html","https://scholar.google.com/scholar?cites=8014109838783690986&as_sdt=2005&sciodt=0,5&hl=en",10,"2020-02-26 15:55:41","","","","",,,,,312,78.00,104,3,4,"In this paper we propose a novel recurrent neural network architecture for video-based person re-identification. Given the video sequence of a person, features are extracted from each frame using a convolutional neural network that incorporates a recurrent final layer …"
308,"C Su, J Li, S Zhang, J Xing, W Gao, ...","Pose-driven deep convolutional model for person re-identification",2017,"Proceedings of the …","openaccess.thecvf.com","http://openaccess.thecvf.com/content_iccv_2017/html/Su_Pose-Driven_Deep_Convolutional_ICCV_2017_paper.html","https://scholar.google.com/scholar?cites=6238497758044032613&as_sdt=2005&sciodt=0,5&hl=en",25,"2020-02-26 15:55:41","","","","",,,,,308,102.67,51,6,3,"Feature extraction and matching are two crucial components in person Re-Identification (ReID). The large pose deformations and the complex view variations exhibited by the captured person images significantly increase the difficulty of learning and matching of the …"
296,"H Liu, J Feng, M Qi, J Jiang, ...","End-to-end comparative attention networks for person re-identification",2017,"IEEE Transactions on …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/7918589/","https://scholar.google.com/scholar?cites=13044748249068181956&as_sdt=2005&sciodt=0,5&hl=en",21,"2020-02-26 15:55:41","","","","",,,,,296,98.67,59,5,3,"Person re-identification across disjoint camera views has been widely applied in video surveillance yet it is still a challenging problem. One of the major challenges lies in the lack of spatial and temporal cues, which makes it difficult to deal with large variations of lighting …"
290,"S Liao, SZ Li","Efficient psd constrained asymmetric metric learning for person re-identification",2015,"Proceedings of the IEEE International Conference …","cv-foundation.org","https://www.cv-foundation.org/openaccess/content_iccv_2015/html/Liao_Efficient_PSD_Constrained_ICCV_2015_paper.html","https://scholar.google.com/scholar?cites=6659171086321633098&as_sdt=2005&sciodt=0,5&hl=en",26,"2020-02-26 15:55:41","","","","",,,,,290,58.00,145,2,5,"Person re-identification is becoming a hot research topic due to its value in both machine learning research and video surveillance applications. For this challenging problem, distance metric learning is shown to be effective in matching person images. However …"
287,"D Chen, Z Yuan, B Chen, N Zheng","Similarity learning with spatial constraints for person re-identification",2016,"Proceedings of the IEEE …","cv-foundation.org","https://www.cv-foundation.org/openaccess/content_cvpr_2016/html/Chen_Similarity_Learning_With_CVPR_2016_paper.html","https://scholar.google.com/scholar?cites=7267345938055797604&as_sdt=2005&sciodt=0,5&hl=en",23,"2020-02-26 15:55:41","","","","",,,,,287,71.75,72,4,4,"Pose variation remains one of the major factors that adversely affect the accuracy of person re-identification. Such variation is not arbitrary as body parts (eg head, torso, legs) have relative stable spatial distribution. Breaking down the variability of global appearance …"
279,"F Wang, W Zuo, L Lin, D Zhang, ...","Joint learning of single-image and cross-image representations for person re-identification",2016,"Proceedings of the …","openaccess.thecvf.com","http://openaccess.thecvf.com/content_cvpr_2016/html/Wang_Joint_Learning_of_CVPR_2016_paper.html","https://scholar.google.com/scholar?cites=17300211957607759012&as_sdt=2005&sciodt=0,5&hl=en",43,"2020-02-26 15:55:41","","","","",,,,,279,69.75,56,5,4,"Person re-identification has been usually solved as either the matching of single-image representation (SIR) or the classification of cross-image representation (CIR). In this work, we exploit the connection between these two categories of methods, and propose a joint …"
270,"L Zheng, S Wang, L Tian, F He, ...","Query-adaptive late fusion for image search and person re-identification",2015,"Proceedings of the …","openaccess.thecvf.com","http://openaccess.thecvf.com/content_cvpr_2015/html/Zheng_Query-Adaptive_Late_Fusion_2015_CVPR_paper.html","https://scholar.google.com/scholar?cites=15059926446720563631&as_sdt=2005&sciodt=0,5&hl=en",38,"2020-02-26 15:55:41","","","","",,,,,270,54.00,54,5,5,"Feature fusion has been proven effective [31, 32] in image search. Typically, it is assumed that the to-be-fused heterogeneous features work well by themselves for the query. However, in a more realistic situation, one does not know in advance whether a feature is …"
267,"T Xiao, S Li, B Wang, L Lin, ...","Joint detection and identification feature learning for person search",2017,"Proceedings of the IEEE …","openaccess.thecvf.com","http://openaccess.thecvf.com/content_cvpr_2017/html/Xiao_Joint_Detection_and_CVPR_2017_paper.html","https://scholar.google.com/scholar?cites=2818455563202720828&as_sdt=2005&sciodt=0,5&hl=en",211,"2020-02-26 15:55:41","","","","",,,,,267,89.00,53,5,3,"… sysu.edu.cn, linliang@ieee.org Abstract Existing person re-identification benchmarks and meth- ods mainly focus on matching cropped pedestrian images between queries and candidates. However, it is different from real-world …"
259,"W Li, X Zhu, S Gong","Person re-identification by deep joint learning of multi-loss classification",2017,"arXiv preprint arXiv:1705.04724","arxiv.org","https://arxiv.org/abs/1705.04724","https://scholar.google.com/scholar?cites=3916367512917783234&as_sdt=2005&sciodt=0,5&hl=en",36,"2020-02-26 15:55:41","","","","",,,,,259,86.33,86,3,3,"Existing person re-identification (re-id) methods rely mostly on either localised or global feature representation alone. This ignores their joint benefit and mutual complementary effects. In this work, we show the advantages of jointly learning local and global features in a …"
255,"C Su, S Zhang, J Xing, W Gao, Q Tian","Deep attributes driven multi-camera person re-identification",2016,"European conference on computer …","Springer","https://link.springer.com/chapter/10.1007/978-3-319-46475-6_30","https://scholar.google.com/scholar?cites=6495936485477714779&as_sdt=2005&sciodt=0,5&hl=en",19,"2020-02-26 15:55:41","","","","",,,,,255,63.75,51,5,4,"The visual appearance of a person is easily affected by many factors like pose variations, viewpoint changes and camera parameter differences. This makes person Re-Identification (ReID) among multiple cameras a very challenging task. This work is motivated to learn mid …"
254,"L Wei, S Zhang, W Gao, Q Tian","Person transfer gan to bridge domain gap for person re-identification",2018,"Proceedings of the IEEE …","openaccess.thecvf.com","http://openaccess.thecvf.com/content_cvpr_2018/html/Wei_Person_Transfer_GAN_CVPR_2018_paper.html","https://scholar.google.com/scholar?cites=13540004844953944715&as_sdt=2005&sciodt=0,5&hl=en",42,"2020-02-26 15:55:41","","","","",,,,,254,127.00,64,4,2,"Although the performance of person Re-Identification (ReID) has been significantly boosted, many challenging issues in real scenarios have not been fully investigated, eg, the complex scenes and lighting variations, viewpoint and pose changes, and the large number of …"
240,"Y Lin, L Zheng, Z Zheng, Y Wu, Z Hu, C Yan, Y Yang","Improving person re-identification by attribute and identity learning",2019,"Pattern Recognition","Elsevier","https://www.sciencedirect.com/science/article/pii/S0031320319302377","https://scholar.google.com/scholar?cites=16314894940671624994&as_sdt=2005&sciodt=0,5&hl=en",30,"2020-02-26 15:55:41","","","","",,,,,240,240.00,34,7,1,"Person re-identification (re-ID) and attribute recognition share a common target at learning pedestrian descriptions. Their difference consists in the granularity. Most existing re-ID methods only take identity labels of pedestrians into consideration. However, we find the …"
235,"H Liu, Y Tian, Y Yang, L Pang, ...","Deep relative distance learning: Tell the difference between similar vehicles",2016,"Proceedings of the …","openaccess.thecvf.com","http://openaccess.thecvf.com/content_cvpr_2016/html/Liu_Deep_Relative_Distance_CVPR_2016_paper.html","https://scholar.google.com/scholar?cites=18165488441205385819&as_sdt=2005&sciodt=0,5&hl=en",980,"2020-02-26 15:55:41","","","","",,,,,235,58.75,47,5,4,"… However, compared with person re-identification or face recognition, vehicle search problem has long been ne- glected by researchers in vision community. This paper focuses on an interesting but challenging problem, vehicle re-identification (aka precise vehicle search) …"
214,"L Zheng, H Zhang, S Sun, ...","Person re-identification in the wild",2017,"Proceedings of the …","openaccess.thecvf.com","http://openaccess.thecvf.com/content_cvpr_2017/html/Zheng_Person_Re-Identification_in_CVPR_2017_paper.html","https://scholar.google.com/scholar?cites=2451674287677049201&as_sdt=2005&sciodt=0,5&hl=en",18,"2020-02-26 15:55:41","","","","",,,,,214,71.33,54,4,3,"This paper presents a novel large-scale dataset and comprehensive baselines for end-to-end pedestrian detection and person recognition in raw video frames. Our baselines address three issues: the performance of various combinations of detectors and recognizers …"
211,"Y Chen, X Zhu, S Gong","Person re-identification by deep learning multi-scale representations",2017,"Proceedings of the IEEE …","openaccess.thecvf.com","http://openaccess.thecvf.com/content_ICCV_2017_workshops/w37/html/Chen_Person_Re-Identification_by_ICCV_2017_paper.html","https://scholar.google.com/scholar?cites=4197356608806582759&as_sdt=2005&sciodt=0,5&hl=en",39,"2020-02-26 15:55:41","","","","",,,,,211,70.33,70,3,3,"Existing person re-identification (re-id) methods depend mostly on single-scale appearance information. This not only ignores the potentially useful explicit information of other different scales, but also loses the chance of mining the implicit correlated complementary …"
206,"J You, A Wu, X Li, WS Zheng","Top-push video-based person re-identification",2016,"Proceedings of the IEEE …","cv-foundation.org","https://www.cv-foundation.org/openaccess/content_cvpr_2016/html/You_Top-Push_Video-Based_Person_CVPR_2016_paper.html","https://scholar.google.com/scholar?cites=12818327390883735215&as_sdt=2005&sciodt=0,5&hl=en",27,"2020-02-26 15:55:41","","","","",,,,,206,51.50,52,4,4,"Most existing person re-identification (re-id) models focus on matching still person images across disjoint camera views using the setting of either single-shot or multi-shot. Since limited information can be exploited from still images, it is hard (if not impossible) to …"
204,"Z Zhong, L Zheng, Z Zheng, S Li, ...","Camera style adaptation for person re-identification",2018,"Proceedings of the …","openaccess.thecvf.com","http://openaccess.thecvf.com/content_cvpr_2018/html/Zhong_Camera_Style_Adaptation_CVPR_2018_paper.html","https://scholar.google.com/scholar?cites=8214559104303782322&as_sdt=2005&sciodt=0,5&hl=en",32,"2020-02-26 15:55:41","","","","",,,,,204,102.00,41,5,2,"Being a cross-camera retrieval task, person re-identification suffers from image style variations caused by different cameras. The art implicitly addresses this problem by learning a camera-invariant descriptor subspace. In this paper, we explicitly consider this challenge …"
203,"D Chen, Z Yuan, G Hua, N Zheng, ...","Similarity learning on an explicit polynomial kernel feature map for person re-identification",2015,"Proceedings of the IEEE …","cv-foundation.org","https://www.cv-foundation.org/openaccess/content_cvpr_2015/html/Chen_Similarity_Learning_on_2015_CVPR_paper.html","https://scholar.google.com/scholar?cites=7811388690690161469&as_sdt=2005&sciodt=0,5&hl=en",61,"2020-02-26 15:55:41","","","","",,,,,203,40.60,41,5,5,"In this paper, we address the person re-identification problem, discovering the correct matches for a probe person image from a set of gallery person images. We follow the learning-to-rank methodology and learn a similarity function to maximize the difference …"
197,"S Bai, X Bai, Q Tian","Scalable person re-identification on supervised smoothed manifold",2017,"… of the IEEE Conference on Computer …","openaccess.thecvf.com","http://openaccess.thecvf.com/content_cvpr_2017/html/Bai_Scalable_Person_Re-Identification_CVPR_2017_paper.html","https://scholar.google.com/scholar?cites=15152737632152076086&as_sdt=2005&sciodt=0,5&hl=en",29,"2020-02-26 15:55:41","","","","",,,,,197,65.67,66,3,3,"Most existing person re-identification algorithms either extract robust visual features or learn discriminative metrics for person images. However, the underlying manifold which those images reside on is rarely investigated. That arises a problem that the learned metric is not …"
196,"S Wu, YC Chen, X Li, AC Wu, JJ You, ...","An enhanced deep feature representation for person re-identification",2016,"2016 IEEE winter …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/7477681/","https://scholar.google.com/scholar?cites=10075285381844363918&as_sdt=2005&sciodt=0,5&hl=en",31,"2020-02-26 15:55:41","","","","",,,,,196,49.00,33,6,4,"Feature representation and metric learning are two critical components in person re-identification models. In this paper, we focus on the feature representation and claim that hand-crafted histogram features can be complementary to Convolutional Neural Network …"
194,"W Deng, L Zheng, Q Ye, G Kang, ...","Image-image domain adaptation with preserved self-similarity and domain-dissimilarity for person re-identification",2018,"Proceedings of the …","openaccess.thecvf.com","http://openaccess.thecvf.com/content_cvpr_2018/html/Deng_Image-Image_Domain_Adaptation_CVPR_2018_paper.html","https://scholar.google.com/scholar?cites=967428353092074205&as_sdt=2005&sciodt=0,5&hl=en",81,"2020-02-26 15:55:41","","","","",,,,,194,97.00,39,5,2,"Person re-identification (re-ID) models trained on one domain often fail to generalize well to another. In our attempt, we present a``learning via translation''framework. In the baseline, we translate the labeled images from source to target domain in an unsupervised manner. We …"
193,"P Peng, T Xiang, Y Wang, M Pontil, ...","Unsupervised cross-dataset transfer learning for person re-identification",2016,"Proceedings of the …","openaccess.thecvf.com","http://openaccess.thecvf.com/content_cvpr_2016/html/Peng_Unsupervised_Cross-Dataset_Transfer_CVPR_2016_paper.html","https://scholar.google.com/scholar?cites=9844039147587665708&as_sdt=2005&sciodt=0,5&hl=en",48,"2020-02-26 15:55:41","","","","",,,,,193,48.25,39,5,4,"Most existing person re-identification (Re-ID) approaches follow a supervised learning framework, in which a large number of labelled matching pairs are required for training. This severely limits their scalability in real-world applications. To overcome this limitation, we …"
190,"L Zheng, Y Huang, H Lu, Y Yang","Pose-invariant embedding for deep person re-identification",2019,"IEEE Transactions on Image …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/8693885/","https://scholar.google.com/scholar?cites=12594686558644610198&as_sdt=2005&sciodt=0,5&hl=en",28,"2020-02-26 15:55:41","","","","",,,,,190,190.00,48,4,1,"Pedestrian misalignment, which mainly arises from detector errors and pose variations, is a critical problem for a robust person re-identification (re-ID) system. With poor alignment, the feature learning and matching process might be largely compromised. To address this …"
186,"H Shi, Y Yang, X Zhu, S Liao, Z Lei, W Zheng, ...","Embedding deep metric for person re-identification: A study against large variations",2016,"European conference on …","Springer","https://link.springer.com/chapter/10.1007/978-3-319-46448-0_44","https://scholar.google.com/scholar?cites=6508481504025744518&as_sdt=2005&sciodt=0,5&hl=en",47,"2020-02-26 15:55:41","","","","",,,,,186,46.50,27,7,4,"Person re-identification is challenging due to the large variations of pose, illumination, occlusion and camera view. Owing to these variations, the pedestrian data is distributed as highly-curved manifolds in the feature space, despite the current convolutional neural …"
184,"Z Zheng, L Zheng, Y Yang","Pedestrian alignment network for large-scale person re-identification",2018,"… on Circuits and Systems for Video …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/8481710/","https://scholar.google.com/scholar?cites=15570096919675942823&as_sdt=2005&sciodt=0,5&hl=en",34,"2020-02-26 15:55:41","","","","",,,,,184,92.00,61,3,2,"Person re-identification (re-ID) is mostly viewed as an image retrieval problem. This task aims to search a query person in a large image pool. In practice, person re-ID usually adopts automatic detectors to obtain cropped pedestrian images. However, this process suffers from …"
