Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract
153,"L Wei, S Zhang, H Yao, W Gao, Q Tian","Glad: Global-local-alignment descriptor for pedestrian retrieval",2017,"Proceedings of the 25th ACM …","dl.acm.org","https://dl.acm.org/doi/abs/10.1145/3123266.3123279","https://scholar.google.com/scholar?cites=6694118623287768577&as_sdt=2005&sciodt=0,5&hl=en",238,"2020-02-26 15:05:22","","","","",,,,,153,51.00,31,5,3,"… To make our Re-ID system scalable on large-scale datasets, we regard person Re-ID as a ne-grained pedestrian retrieval task, and focus on designing a more e cient indexing and retrieval framework … For instance, arms can be invisible due to occlusion or pose changes …"
136,"KA Geisner, BJ Mount, SG Latta, DJ McCulloch…","Realistic occlusion for a head mounted augmented reality display",2015,"US Patent …","Google Patents","https://patents.google.com/patent/US9122053B2/en","https://scholar.google.com/scholar?cites=10968996534823205691&as_sdt=2005&sciodt=0,5&hl=en",260,"2020-02-26 15:05:22","","","","",,,,,136,27.20,27,5,5,"US9122053B2 - Realistic occlusion for a head mounted augmented reality display - Google Patents. Realistic occlusion for a head mounted augmented reality display. Download PDF Info. Publication number US9122053B2 …"
124,"J Mao, T Xiao, Y Jiang, Z Cao","What can help pedestrian detection?",2017,"Proceedings of the IEEE …","openaccess.thecvf.com","http://openaccess.thecvf.com/content_cvpr_2017/html/Mao_What_Can_Help_CVPR_2017_paper.html","https://scholar.google.com/scholar?cites=17025961347538531040&as_sdt=2005&sciodt=0,5&hl=en",282,"2020-02-26 15:05:22","","","","",,,,,124,41.33,31,4,3,"… KITTI dataset We choose KITTI dataset [26] for channel feature analysis considering its possession of pedestrians of various scales in … set for training and validation follow- ing [5]. The person class in KITTI is divided into two sub- classes: pedestrian and cyclist … occlusion level, etc …"
119,"D Tomè, F Monti, L Baroffio, L Bondi…","Deep convolutional neural networks for pedestrian detection",2016,"Signal processing …","Elsevier","https://www.sciencedirect.com/science/article/pii/S0923596516300637","https://scholar.google.com/scholar?cites=4920937605220009734&as_sdt=2005&sciodt=0,5&hl=en",100,"2020-02-26 15:05:22","","","","",,,,,119,29.75,24,5,4,"… Instead, for pedestrian detection each proposal should be analyzed in order to check whether it … [23] were the first to use convolutional networks for detecting pedestrians, proposing an … that is able to perform feature extraction, part deformation handling, and occlusion handling …"
113,"H Hattori, V Naresh Boddeti, KM Kitani…","Learning scene-specific pedestrian detectors without real data",2015,"Proceedings of the …","cv-foundation.org","https://www.cv-foundation.org/openaccess/content_cvpr_2015/html/Hattori_Learning_Scene-Specific_Pedestrian_2015_CVPR_paper.html","https://scholar.google.com/scholar?cites=9811643267125463557&as_sdt=2005&sciodt=0,5&hl=en",81,"2020-02-26 15:05:22","","","","",,,,,113,22.60,28,4,5,"… We compare our proposed model to all baselines using the standard 50% overlap metric used for pedestrian detec- tion [11] … Failure cases also show that our model is not able to detect pedestrians occluded by other pedestrians since this type of occlusion was not …"
110,"E Ohn-Bar, MM Trivedi","Learning to detect vehicles by clustering appearance patterns",2015,"IEEE Transactions on Intelligent …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/7065305/","https://scholar.google.com/scholar?cites=9905133943678891491&as_sdt=2005&sciodt=0,5&hl=en",651,"2020-02-26 15:05:22","","","","",,,,,110,22.00,55,2,5,"… In specific object detec- tion domains, such as vehicle or pedestrian detection, certain appearance patterns (eg certain occlusion types) may be com- mon, thereby motivating learning models that are specialized for such well defined patterns …"
104,"S Paisitkriangkrai, C Shen…","Pedestrian detection with spatially pooled features and structured ensemble learning",2015,"IEEE transactions on …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/7229360/","https://scholar.google.com/scholar?cites=14571007603273302854&as_sdt=2005&sciodt=0,5&hl=en",77,"2020-02-26 15:05:22","","","","",,,,,104,20.80,35,3,5,"… The task of pedestrian detection is to identify visible pedestrians in a given image using … gained through analysis of a set of labelled pedestrian and non-pedestrian exem- plars … is made difficult by the inevitable variation in target appearance, lighting and pose, and by occlusion …"
102,"G Brazil, X Yin, X Liu","Illuminating pedestrians via simultaneous detection & segmentation",2017,"Proceedings of the IEEE …","openaccess.thecvf.com","http://openaccess.thecvf.com/content_iccv_2017/html/Brazil_Illuminating_Pedestrians_via_ICCV_2017_paper.html","https://scholar.google.com/scholar?cites=4356096271820912238&as_sdt=2005&sciodt=0,5&hl=en",19,"2020-02-26 15:05:22","","","","",,,,,102,34.00,34,3,3,"… Collectively, occlusion and unusual poses of pedestrians (sitting, cyclist, bent over) make up for 75% of the corrections, suggesting that the the segmentation supervision naturally informs the shared features on robust pedestrian parts and shape information …"
93,"J Liu, S Zhang, S Wang, DN Metaxas","Multispectral deep neural networks for pedestrian detection",2016,"arXiv preprint arXiv:1611.02644","arxiv.org","https://arxiv.org/abs/1611.02644","https://scholar.google.com/scholar?cites=4058530839079377381&as_sdt=2005&sciodt=0,5&hl=en",97,"2020-02-26 15:05:22","","","","",,,,,93,23.25,23,4,4,"… Many challenges prevent artificial vision systems from practical applications, including occlusion, low image resolution … 2 LIU ET AL.: MULTISPECTRAL DNNS FOR PEDESTRIAN DETECTION … color image provides more distinctive visual features for the pedestrians (standing on …"
92,"X Wang, T Xiao, Y Jiang, S Shao…","Repulsion loss: Detecting pedestrians in a crowd",2018,"Proceedings of the …","openaccess.thecvf.com","http://openaccess.thecvf.com/content_cvpr_2018/html/Wang_Repulsion_Loss_Detecting_CVPR_2018_paper.html","https://scholar.google.com/scholar?cites=17266817651794424255&as_sdt=2005&sciodt=0,5&hl=en",7,"2020-02-26 15:05:22","","","","",,,,,92,46.00,18,5,2,"… 0.1. Moreover, 26.4% of all pedestrians have con- siderable overlaps with another annotated pedestrian whose IoU is above 0.3. The highly frequent crowd occlusion severely harms the performance of pedestrian detectors …"
87,"S Zhang, J Yang, B Schiele","Occluded pedestrian detection through guided attention in CNNs",2018,"Proceedings of the IEEE …","openaccess.thecvf.com","http://openaccess.thecvf.com/content_cvpr_2018/html/Zhang_Occluded_Pedestrian_Detection_CVPR_2018_paper.html","https://scholar.google.com/scholar?cites=15130924457908941896&as_sdt=2005&sciodt=0,5&hl=en",6,"2020-02-26 15:05:22","","","","",,,,,87,43.50,29,3,2,"… detector as our base pedes- trian detector, and an attention network as an add-on to han- dle occlusion, we review recent work on CNN based pedes- trian detectors, occlusion handling for pedestrians and at- tention mechanisms respectively. Pedestrian detection with CNNs …"
85,"B Zhou, X Tang, X Wang","Learning collective crowd behaviors with dynamic pedestrian-agents",2015,"International Journal of Computer Vision","Springer","https://link.springer.com/article/10.1007/s11263-014-0735-3","https://scholar.google.com/scholar?cites=5972542822618245888&as_sdt=2005&sciodt=0,5&hl=en",377,"2020-02-26 15:05:22","","","","",,,,,85,17.00,28,3,5,"… Since pedestrians of each dynamic pedestrian-agent emerge from an entrance with a certain frequency, we augment a dynamic pedestrian-agent with another module, timing of emerging … 5 (a) Ten representative dynamic pedestrian-agents with their simulated pedestrians …"
83,"S Zhang, R Benenson, M Omran…","Towards reaching human performance in pedestrian detection",2017,"IEEE transactions on …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/7917260/","https://scholar.google.com/scholar?cites=8128235512724563589&as_sdt=2005&sciodt=0,5&hl=en",101,"2020-02-26 15:05:22","","","","",,,,,83,27.67,21,4,3,"… 2.1 Pedestrian Detection Benchmarks Amongst existing pedestrian datasets [10], [16], [17], Cal- tech-USA [15 … amount to a total of 350,000 bounding boxes covering $ 2;300 unique pedestrians … for different subsets of the test set based on annotation size, occlusion level and …"
77,"D Li, Z Zhang, X Chen, H Ling, K Huang","A richly annotated dataset for pedestrian attribute recognition",2016,"arXiv preprint arXiv:1603.07054","arxiv.org","https://arxiv.org/abs/1603.07054","https://scholar.google.com/scholar?cites=15546302684584164579&as_sdt=2005&sciodt=0,5&hl=en",102,"2020-02-26 15:05:22","","","","",,,,,77,19.25,15,5,4,"… 26 cameras are selected from the camera network excluding those with few pedestrians … (b) Distribution of the annotated human images at different occlusion positions … After all the videos are collected, a Gaussian Mixture Model (GMM) based pedestrian detection and tracking …"
77,"A González, Z Fang, Y Socarras, J Serrat, D Vázquez…","Pedestrian detection at day/night time with visible and FIR cameras: A comparison",2016,"Sensors","mdpi.com","https://www.mdpi.com/1424-8220/16/6/820","https://scholar.google.com/scholar?cites=3996709944245949477&as_sdt=2005&sciodt=0,5&hl=en",416,"2020-02-26 15:05:22","","","","",,,,,77,19.25,13,6,4,"… For instance, the total number of pedestrians present in the sequences, number of occlusions, the distribution of the pedestrian distance to the camera (size in pixels), the type of background present, the frame resolution and the frame rate etc …"
71,"D Xu, W Ouyang, E Ricci, X Wang…","Learning cross-modal deep representations for robust pedestrian detection",2017,"Proceedings of the …","openaccess.thecvf.com","http://openaccess.thecvf.com/content_cvpr_2017/html/Xu_Learning_Cross-Modal_Deep_CVPR_2017_paper.html","https://scholar.google.com/scholar?cites=6911915982790356442&as_sdt=2005&sciodt=0,5&hl=en",107,"2020-02-26 15:05:22","","","","",,,,,71,23.67,14,5,3,"… Differently from previ- ous deep learning models addressing the occlusion prob- lem, DeepParts does not rely … ically focus on bounding boxes which are likely to contain pedestrians. Therefore, in this paper we propose to exploit a pretrained generic pedestrian detector (eg ACF …"
67,"A Rasouli, I Kotseruba…","Agreeing to cross: How drivers and pedestrians communicate",2017,"2017 IEEE Intelligent …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/7995730/","https://scholar.google.com/scholar?cites=17129883524967109925&as_sdt=2005&sciodt=0,5&hl=en",252,"2020-02-26 15:05:22","","","","",,,,,67,22.33,22,3,3,"… and pedestrians that interact with or require the attention of the driver (eg another car yielding to the driver, pedestrian waiting to cross the street, etc.). Bounding boxes for each video are written into an XML file with frame number, coordinates, width, height, and occlusion flag …"
65,"W Zhang, B Ma, K Liu, R Huang","Video-based pedestrian re-identification by adaptive spatio-temporal appearance model",2017,"IEEE transactions on image …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/7859378/","https://scholar.google.com/scholar?cites=5099749597625899662&as_sdt=2005&sciodt=0,5&hl=en",472,"2020-02-26 15:05:22","","","","",,,,,65,21.67,16,4,3,"… body model is essentially a form of spatial alignment, which can address the pose and occlusion problem to … For example, when a pedestrian is observed from sideview, the poses of the swinging arms and legs always … However, different pedestrians have different gait cycles …"
63,"A Brunetti, D Buongiorno, GF Trotta, V Bevilacqua","Computer vision and deep learning techniques for pedestrian detection and tracking: A survey",2018,"Neurocomputing","Elsevier","https://www.sciencedirect.com/science/article/pii/S092523121830290X","https://scholar.google.com/scholar?cites=2708546546174019797&as_sdt=2005&sciodt=0,5&hl=en",147,"2020-02-26 15:05:22","","","","",,,,,63,31.50,16,4,2,"Skip to main content Skip to article Elsevier logo: Journals & Books. Create accountSign in. Sign inCreate account. Journals & Books. Help. Download PDFDownload. Share. Export."
60,"H Idrees, K Soomro, M Shah","Detecting humans in dense crowds using locally-consistent scale prior and global occlusion reasoning",2015,"IEEE transactions on pattern …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/7018985/","https://scholar.google.com/scholar?cites=14767608175536616493&as_sdt=2005&sciodt=0,5&hl=en",71,"2020-02-26 15:05:22","","","","",,,,,60,12.00,20,3,5,"… [22] which focuses on application of pedestrian detection to … Unlike [43] which divides the regular SVM bias among rigid blocks of the human detector for occlusion rea- soning, we propose to divide … [48] uses appearance and spatial interac- tion to describe multiple pedestrians …"
60,"S Yi, H Li, X Wang","Pedestrian behavior understanding and prediction with deep neural networks",2016,"European Conference on Computer Vision","Springer","https://link.springer.com/chapter/10.1007/978-3-319-46448-0_16","https://scholar.google.com/scholar?cites=8351134445012581146&as_sdt=2005&sciodt=0,5&hl=en",398,"2020-02-26 15:05:22","","","","",,,,,60,15.00,20,3,4,"… distance between ground truth walking paths and tracking results of 1000 pedestrians in Dataset … E., Shah, M.: Part-based multiple-person tracking with partial occlusion handling … Understanding collective crowd behaviors: learning a mixture model of dynamic pedestrian-agents …"
59,"W Ouyang, H Zhou, H Li, Q Li, J Yan…","Jointly learning deep features, deformable parts, occlusion and classification for pedestrian detection",2017,"IEEE transactions on …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/8008790/","https://scholar.google.com/scholar?cites=16273011398951965964&as_sdt=2005&sciodt=0,5&hl=en",1,"2020-02-26 15:05:22","","","","",,,,,59,19.67,10,6,3,"Feature extraction, deformation handling, occlusion handling, and classification are four important components in pedestrian detection. Existing methods learn or design these components either individually or sequentially. The interaction among these components is …"
59,"J Cao, Y Pang, X Li","Pedestrian detection inspired by appearance constancy and shape symmetry",2016,"… of the IEEE Conference on Computer …","openaccess.thecvf.com","http://openaccess.thecvf.com/content_cvpr_2016/html/Cao_Pedestrian_Detection_Inspired_CVPR_2016_paper.html","https://scholar.google.com/scholar?cites=6141760967052516438&as_sdt=2005&sciodt=0,5&hl=en",408,"2020-02-26 15:05:22","","","","",,,,,59,14.75,20,3,4,"… [30] proposed DeepParts to improve the detection performance by handling occlusion with an … Most state-of-the-art features for pedestrian detection are designed to describe the local image … In fact, some inherent attributes of pedestrians can be used to further improve detection …"
59,"J Schlosser, CK Chow, Z Kira","Fusing lidar and images for pedestrian detection using convolutional neural networks",2016,"2016 IEEE International …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/7487370/","https://scholar.google.com/scholar?cites=4528096242378688748&as_sdt=2005&sciodt=0,5&hl=en",420,"2020-02-26 15:05:22","","","","",,,,,59,14.75,20,3,4,"… Conceptually, the idea is simple – utilize sensor data to identify pedestrians and their coordinates … While object detection in general is nontrivial, pedestrian detection has been found to be especially difficult due to occlusion, nonstandard body part positioning, highly vari …"
57,"J Cao, Y Pang, X Li","Learning multilayer channel features for pedestrian detection",2017,"IEEE transactions on image processing","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/7912366/","https://scholar.google.com/scholar?cites=5011202430039052002&as_sdt=2005&sciodt=0,5&hl=en",53,"2020-02-26 15:05:22","","","","",,,,,57,19.00,19,3,3,"… Recently, Tian et al. [44] proposed to learn deep strong part models to handle the problem of pedestrian occlusion. Li et al … INRIA dataset [8] consists of 1237 pedestrians used for training and 288 pedestrian images used for evaluation …"
56,"A Divakaran, Q Yu, A Tamrakar, HS Sawhney…","Real-time object detection, tracking and occlusion reasoning",2018,"US Patent …","Google Patents","https://patents.google.com/patent/US9904852B2/en","https://scholar.google.com/scholar?cites=3001393710302194232&as_sdt=2005&sciodt=0,5&hl=en",202,"2020-02-26 15:05:22","","","","",,,,,56,28.00,11,5,2,"Real-time object detection, tracking and occlusion reasoning. Download PDF … A system for object detection and tracking includes technologies to, among other things, detect and track moving objects, such as pedestrians and/or vehicles, in a real-world environment, handle static …"
55,"X Zhao, Z He, S Zhang, D Liang","Robust pedestrian detection in thermal infrared imagery using a shape distribution histogram feature and modified sparse representation classification",2015,"Pattern Recognition","Elsevier","https://www.sciencedirect.com/science/article/pii/S003132031400524X","https://scholar.google.com/scholar?cites=1304224189197597999&as_sdt=2005&sciodt=0,5&hl=en",205,"2020-02-26 15:05:22","","","","",,,,,55,11.00,14,4,5,"… used for robust face recognition to cope with noise corruption, occlusion, outlier detection and … However, in the pedestrian classification, the representational abilities of the positive and negative … The positive samples span the subspace of pedestrians, while the negative samples …"
54,"S Zhang, L Wen, X Bian, Z Lei…","Occlusion-aware R-CNN: detecting pedestrians in a crowd",2018,"Proceedings of the …","openaccess.thecvf.com","http://openaccess.thecvf.com/content_ECCV_2018/html/Shifeng_Zhang_Occlusion-aware_R-CNN_Detecting_ECCV_2018_paper.html","https://scholar.google.com/scholar?cites=2569110811596943801&as_sdt=2005&sciodt=0,5&hl=en",2,"2020-02-26 15:05:22","","","","",,,,,54,27.00,11,5,2,"Pedestrian detection in crowded scenes is a challenging problem since the pedestrians often gather together and occlude each other. In this paper, we propose a new occlusion-aware R-CNN (OR-CNN) to improve the detection accuracy in the crowd. Specifically, we …"
54,"BP Chen, JP Hultguist, C Blumenberg…","Methods and apparatus for rendering labels based on occlusion testing for label visibility",2015,"US Patent …","Google Patents","https://patents.google.com/patent/US8988426B2/en","https://scholar.google.com/scholar?cites=12989226357537373578&as_sdt=2005&sciodt=0,5&hl=en",432,"2020-02-26 15:05:22","","","","",,,,,54,10.80,14,4,5,"US8988426B2 - Methods and apparatus for rendering labels based on occlusion testing for label visibility - Google Patents. Methods and apparatus for rendering labels based on occlusion testing for label visibility. Download PDF Info …"
53,"K Meshgi, S Maeda, S Oba, H Skibbe, Y Li…","An occlusion-aware particle filter tracker to handle complex and persistent occlusions",2016,"Computer Vision and …","Elsevier","https://www.sciencedirect.com/science/article/pii/S1077314216300649","https://scholar.google.com/scholar?cites=15600994631657003283&as_sdt=2005&sciodt=0,5&hl=en",189,"2020-02-26 15:05:22","","","","",,,,,53,13.25,9,6,4,"… Elsevier. Computer Vision and Image Understanding. Volume 150, September 2016, Pages 81-94. Computer Vision and Image Understanding. An occlusion-aware particle filter tracker to handle complex and persistent occlusions … 2. Occlusion-aware tracking …"
52,"A González, G Villalonga, J Xu…","Multiview random forest of local experts combining rgb and lidar data for pedestrian detection",2015,"2015 IEEE Intelligent …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/7225711/","https://scholar.google.com/scholar?cites=8807378103862981925&as_sdt=2005&sciodt=0,5&hl=en",181,"2020-02-26 15:05:22","","","","",,,,,52,10.40,13,4,5,"… max truncation: 30%), hard subset (Min height: 25 px; max occlusion level: difficult to … The measurements include the Caltech evaluation methodology for reasonable pedestrians subset and the KITTI evaluation methodology for easy, moderate and hard pedestrian subset …"
50,"J Tsurukiri, I Akamine, T Sato…","Resuscitative endovascular balloon occlusion of the aorta for uncontrolled haemorrahgic shock as an adjunct to haemostatic procedures in the acute care …",2016,"… journal of trauma …","sjtrem.biomedcentral.com","https://sjtrem.biomedcentral.com/articles/10.1186/s13049-016-0205-8","https://scholar.google.com/scholar?cites=191776231112028112&as_sdt=2005&sciodt=0,5&hl=en",162,"2020-02-26 15:05:22","HTML","","","",,,,,50,12.50,13,4,4,"… Access. Resuscitative endovascular balloon occlusion of the aorta for uncontrolled haemorrahgic shock as an adjunct to haemostatic procedures in the acute care setting … Intra-aortic balloon occlusion catheter. In our ER, 10 Fr. intra …"
50,"WG Aguilar, MA Luna, JF Moya, V Abad…","Pedestrian detection for UAVs using cascade classifiers with meanshift",2017,"2017 IEEE 11th …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/7889588/","https://scholar.google.com/scholar?cites=7221253797338413993&as_sdt=2005&sciodt=0,5&hl=en",393,"2020-02-26 15:05:22","","","","",,,,,50,16.67,10,5,3,"… 35] X. Wang, TX Han, and S. Yan, “An HOG-LBP human detector with partial occlusion handling,” Comput … [39] F. De Smedt, D. Hulens, and T. Goedeme, “On-board real-time tracking of pedestrians on a … 40] R. Benenson and J. Hosang, “Ten Years of Pedestrian Detection, What …"
50,"F Bella, M Silvestri","Effects of safety measures on driver's speed behavior at pedestrian crossings",2015,"Accident Analysis & Prevention","Elsevier","https://www.sciencedirect.com/science/article/pii/S0001457515300257","https://scholar.google.com/scholar?cites=10154714128157130046&as_sdt=2005&sciodt=0,5&hl=en",551,"2020-02-26 15:05:22","","","","",,,,,50,10.00,25,2,5,"… the occlusion of the line of sight of an approaching vehicle due to the parking on the … As mentioned above, the movement of the pedestrian was triggered when the driver was at three … Therefore, the pedestrians started to cross only with respect of the position of the vehicle from …"
